"","dteday","mnth","hr","holiday","workingday","weathersit","temp","hum","windspeed","casual","registered","cnt","isWorking","monthCount","dayWeek","workTime","xformHr"
"1",2011-01-01,1,0,0,0,1,-1.33460918694128,0.947345243330896,-1.5538438052971,3,13,16,0,1,6,24,19
"2",2011-01-01,1,1,0,0,1,-1.43847500990342,0.895512927978679,-1.5538438052971,8,32,40,0,1,6,25,20
"3",2011-01-01,1,2,0,0,1,-1.43847500990342,0.895512927978679,-1.5538438052971,5,27,32,0,1,6,26,21
"4",2011-01-01,1,3,0,0,1,-1.33460918694128,0.636351351217591,-1.5538438052971,3,10,13,0,1,6,27,22
"5",2011-01-01,1,4,0,0,1,-1.33460918694128,0.636351351217591,-1.5538438052971,0,1,1,0,1,6,28,23
"6",2011-01-01,1,5,0,0,2,-1.33460918694128,0.636351351217591,-0.821460017517193,0,1,1,0,1,6,29,0
"7",2011-01-01,1,6,0,0,1,-1.43847500990342,0.895512927978679,-1.5538438052971,2,0,2,0,1,6,30,1
"8",2011-01-01,1,7,0,0,1,-1.54234083286556,1.20650682009198,-1.5538438052971,1,2,3,0,1,6,31,2
"9",2011-01-01,1,8,0,0,1,-1.33460918694128,0.636351351217591,-1.5538438052971,1,7,8,0,1,6,32,3
"10",2011-01-01,1,9,0,0,1,-0.919145895092722,0.688183666569809,-1.5538438052971,8,6,14,0,1,6,33,4
"11",2011-01-01,1,10,0,0,1,-0.607548426206302,0.688183666569809,0.519881272378821,12,24,36,0,1,6,34,5
"12",2011-01-01,1,11,0,0,1,-0.711414249168442,0.947345243330896,0.764281665845554,26,30,56,0,1,6,35,6
"13",2011-01-01,1,12,0,0,1,-0.399816780282022,0.740015981922026,0.764281665845554,29,55,84,0,1,6,36,7
"14",2011-01-01,1,13,0,0,2,-0.192085134357741,0.480854405160939,0.886073166268775,47,47,94,0,1,6,37,8
"15",2011-01-01,1,14,0,0,2,-0.192085134357741,0.480854405160939,0.764281665845554,35,71,106,0,1,6,38,9
"16",2011-01-01,1,15,0,0,2,-0.295950957319881,0.740015981922026,0.886073166268775,40,70,110,0,1,6,39,10
"17",2011-01-01,1,16,0,0,2,-0.399816780282022,0.999177558683113,0.886073166268775,41,52,93,0,1,6,40,11
"18",2011-01-01,1,17,0,0,2,-0.295950957319881,0.999177558683113,0.764281665845554,15,52,67,0,1,6,41,12
"19",2011-01-01,1,18,0,0,3,-0.399816780282022,1.31017145079642,0.519881272378821,9,26,35,0,1,6,42,13
"20",2011-01-01,1,19,0,0,3,-0.399816780282022,1.31017145079642,0.519881272378821,6,31,37,0,1,6,43,14
"21",2011-01-01,1,20,0,0,2,-0.503682603244161,1.2583391354442,0.519881272378821,11,25,36,0,1,6,44,15
"22",2011-01-01,1,21,0,0,2,-0.503682603244161,1.2583391354442,0.0318978780656464,3,31,34,0,1,6,45,16
"23",2011-01-01,1,22,0,0,2,-0.503682603244161,1.62116534290972,0.276298271532379,11,17,28,0,1,6,46,17
"24",2011-01-01,1,23,0,0,2,-0.192085134357741,1.31017145079642,0.886073166268775,15,24,39,0,1,6,47,18
"25",2011-01-02,1,0,0,0,2,-0.192085134357741,1.31017145079642,0.886073166268775,4,13,17,0,1,7,24,19
"26",2011-01-02,1,1,0,0,2,-0.295950957319881,1.62116534290972,0.519881272378821,1,16,17,0,1,7,25,20
"27",2011-01-02,1,2,0,0,2,-0.399816780282022,1.93215923502303,0.764281665845554,1,8,9,0,1,7,26,21
"28",2011-01-02,1,3,0,0,2,-0.192085134357741,1.62116534290972,0.0318978780656464,2,4,6,0,1,7,27,22
"29",2011-01-02,1,4,0,0,2,-0.192085134357741,1.62116534290972,0.0318978780656464,2,1,3,0,1,7,28,23
"30",2011-01-02,1,6,0,0,3,-0.399816780282022,0.740015981922026,0.886073166268775,0,2,2,0,1,7,30,1
"31",2011-01-02,1,7,0,0,2,-0.503682603244161,0.688183666569809,0.0318978780656464,0,1,1,0,1,7,31,2
"32",2011-01-02,1,8,0,0,3,-0.503682603244161,0.429022089808721,0.276298271532379,0,8,8,0,1,7,32,3
"33",2011-01-02,1,9,0,0,2,-0.607548426206302,0.688183666569809,0.276298271532379,1,19,20,0,1,7,33,4
"34",2011-01-02,1,10,0,0,2,-0.711414249168442,0.947345243330896,0.276298271532379,7,46,53,0,1,7,34,5
"35",2011-01-02,1,11,0,0,2,-0.711414249168442,0.429022089808721,0.519881272378821,16,54,70,0,1,7,35,6
"36",2011-01-02,1,12,0,0,2,-0.711414249168442,0.169860513047634,0.886073166268775,20,73,93,0,1,7,36,7
"37",2011-01-02,1,13,0,0,2,-0.711414249168442,0.169860513047634,-0.456085516247529,11,64,75,0,1,7,37,8
"38",2011-01-02,1,14,0,0,3,-0.711414249168442,0.688183666569809,0.0318978780656464,4,55,59,0,1,7,38,9
"39",2011-01-02,1,15,0,0,3,-0.815280072130582,0.947345243330896,-0.211685122780796,19,55,74,0,1,7,39,10
"40",2011-01-02,1,16,0,0,3,-0.815280072130582,0.429022089808721,-0.211685122780796,9,67,76,0,1,7,40,11
"41",2011-01-02,1,17,0,0,1,-0.815280072130582,-0.296630325122323,0.0318978780656464,7,58,65,0,1,7,41,12
"42",2011-01-02,1,18,0,0,2,-0.711414249168442,-0.866785793996715,1.13047355973551,10,43,53,0,1,7,42,13
"43",2011-01-02,1,19,0,0,1,-0.919145895092722,-1.07411505540558,2.10644034836186,1,29,30,0,1,7,43,14
"44",2011-01-02,1,20,0,0,1,-1.02301171805486,-1.22961200146224,1.37405656058195,5,17,22,0,1,7,44,15
"45",2011-01-02,1,21,0,0,1,-1.23074336397914,-0.97045042470115,1.13047355973551,11,20,31,0,1,7,45,16
"46",2011-01-02,1,22,0,0,1,-1.33460918694128,-0.97045042470115,0.886073166268775,0,9,9,0,1,7,46,17
"47",2011-01-02,1,23,0,0,1,-1.43847500990342,-0.814953478644498,-0.211685122780796,0,8,8,0,1,7,47,18
"48",2011-01-03,1,0,0,1,1,-1.43847500990342,-0.97045042470115,1.37405656058195,0,5,5,1,1,1,0,19
"49",2011-01-03,1,1,0,1,1,-1.54234083286556,-0.97045042470115,1.86203995489513,0,2,2,1,1,1,1,20
"50",2011-01-03,1,4,0,1,1,-1.75007247878984,-0.814953478644498,1.61845695404868,0,1,1,1,1,1,4,23
"51",2011-01-03,1,5,0,1,1,-1.75007247878984,-0.814953478644498,0.764281665845554,0,3,3,1,1,1,5,0
